,1,2,3,4,5,E,SD,
RMSE,33.692,31.7922,29.7587,26.4074,30.9398,30.518,2.42279,
R^2,0.24321,0.23516,0.262419,0.287262,0.262929,0.258196,0.0181128,
W[0],0.0882111,0.0636582,0.00203232,0.0946862,0.0556521,0.060848,0.0328266,
W[1],-0.026289,-0.0208484,-0.0307501,-0.0244867,-0.0189612,-0.024267,0.00414742,
W[2],-0.11952,-0.0926285,-0.115054,-0.0860874,-0.120027,-0.106663,0.0143847,
W[3],-0.0187015,-0.0200173,0.0142996,-0.00999457,0.0332233,-0.000238074,0.0207765,
W[4],0.459951,0.0561835,0.593253,0.0320196,0.484087,0.325099,0.233915,
W[5],0.124904,-0.174473,-0.109689,0.0574322,-0.463263,-0.113018,0.205971,
W[6],-0.159629,-0.0112324,-0.324054,1.09372,0.176558,0.155073,0.49755,
W[7],0.0922028,0.544073,0.335385,0.477381,-0.0753795,0.274733,0.233746,
W[8],0.456977,0.906954,0.93301,0.405555,1.33649,0.807798,0.343483,
W[9],-0.0673975,0.910165,0.0702051,-0.0690798,0.187364,0.206251,0.364705,
W[10],0.232207,0.149037,0.0691133,0.0512211,0.126104,0.125537,0.0642459,
W[11],0.547703,0.577763,0.45644,0.0716109,0.689746,0.468652,0.212051,
W[12],0.842014,0.785888,0.833438,0.914697,0.887725,0.852752,0.0447649,
W[13],0.0867758,0.119674,0.0369828,0.417228,0.0676847,0.145669,0.138407,
W[14],0.0618068,-0.191507,-0.0654928,0.035817,0.0508253,-0.0217102,0.0962224,
W[15],-0.268876,-0.215421,-0.402978,-0.318339,-0.325241,-0.306171,0.0624658,
W[16],0.385482,0.192004,0.285079,0.435167,0.141995,0.287945,0.111087,
W[17],0.550748,0.455221,0.390551,0.438826,0.226324,0.412334,0.106559,
W[18],-0.0174958,0.0901628,0.0894881,0.155923,-0.0252253,0.0585707,0.0696267,
W[19],-0.134127,-0.0760269,-0.0455933,0.284981,-0.0843613,-0.0110254,0.150713,
W[20],-0.196638,0.178137,-0.0561371,-0.0805269,0.269215,0.02281,0.173154,
W[21],-0.325809,-0.150961,-0.491892,-1.43623,-0.744417,-0.629863,0.448149,
W[22],-0.415753,-0.944003,-0.564715,-0.669579,-0.294712,-0.577752,0.223203,
W[23],0.173922,-0.586922,-0.46158,-0.00300808,-0.888884,-0.353294,0.388284,
W[24],-0.284398,-0.222953,-0.269292,-0.305097,-0.215715,-0.259491,0.0347786,
W[25],-0.0907492,-0.0196416,-0.0114905,0.0293068,-0.0656961,-0.0316541,0.0422332,
W[26],-0.0216017,-0.0716071,0.0338708,0.0495037,-0.184695,-0.0389058,0.084541,
W[27],0.20954,0.123044,-0.0587649,0.0908123,-0.0422907,0.0644682,0.10174,
W[28],-0.666754,-0.552079,-0.846155,-0.867959,-0.872866,-0.761162,0.129411,
W[29],0.546327,-0.0317822,-0.0609133,0.261995,0.725309,0.288187,0.310693,
W[30],9.15639,8.74271,8.82377,9.63255,8.81424,9.03393,0.33184,
W[31],3.27305,3.70478,3.53839,3.13236,3.30767,3.39125,0.203927,
W[32],-0.472718,0.0780603,-0.0430092,-0.186743,-0.764717,-0.277825,0.305004,
W[33],4.47472,5.11767,4.9637,4.3887,4.58439,4.70584,0.28455,
W[34],-0.252918,-0.257859,-0.205399,-0.258437,-0.195691,-0.234061,0.0276041,
W[35],-0.00286803,-0.00361646,-0.00794609,-0.00840967,-0.0151749,-0.00760304,0.00439125,
W[36],0.341149,0.33478,0.541583,0.340561,0.311658,0.373946,0.0845058,
W[37],2.24367,2.14076,1.45655,2.13489,2.11288,2.01775,0.284213,
W[38],0.0818917,0.0861249,0.079005,0.0655324,0.042667,0.0710442,0.0157741,
W[39],-0.066432,-0.0672234,0.311091,0.0320216,-0.0529792,0.0312957,0.144669,
W[40],-0.0619527,-0.0674656,0.329507,0.0455508,-0.052424,0.038643,0.151209,
W[41],-0.056305,-0.0629776,0.337053,0.0536177,-0.051827,0.0439123,0.152749,
W[42],-0.0622703,-0.0661782,0.351499,0.0457314,-0.0321785,0.0473207,0.157315,
W[43],-0.0646994,-0.0663059,0.353833,0.0379407,-0.0243772,0.0472783,0.157885,
W[44],-0.055421,-0.0581613,0.349823,0.0497032,-0.0511264,0.0469635,0.156772,
W[45],-0.0393938,-0.0418756,0.336861,0.0537443,-0.0316971,0.0555279,0.145091,
W[46],0.0160954,-0.443365,-0.231391,0.32695,0.380601,0.00977824,0.316749,
W[47],0.0268724,-0.421896,-0.210726,0.316884,0.384063,0.0190393,0.306343,
W[48],0.0454469,-0.412215,-0.250342,0.343332,0.369598,0.019164,0.312186,
W[49],0.0442152,-0.431984,-0.20495,0.341027,0.414672,0.032596,0.320471,
W[50],0.0411592,-0.431317,-0.242453,0.344662,0.405226,0.0234555,0.32458,
W[51],0.0367996,-0.428446,-0.230378,0.337948,0.412289,0.0256426,0.322148,
W[52],0.0178634,-0.44775,-0.20586,0.332922,0.413733,0.0221816,0.323336,
W[53],1.71075,1.8637,2.65207,1.91209,1.84699,1.99712,0.334225,
