,1,2,3,4,5,E,SD,
RMSE,26.7632,24.7627,27.4586,29.4779,32.8555,28.2636,2.74646,
R^2,0.405453,0.388905,0.344269,0.379541,0.299556,0.363545,0.0377398,
W[0],2.90594,3.53875,5.11018,3.47387,3.8066,3.76707,0.732821,
W[1],3.69856,3.25492,2.93247,0.51824,3.61093,2.80302,1.17438,
W[2],-0.067419,-0.145828,0.0791072,-0.350895,0.265637,-0.0438795,0.20791,
W[3],-4.20766,-4.22735,-3.66688,-1.24843,-4.42782,-3.55563,1.1809,
W[4],-0.616968,-0.645069,-0.294309,0.347559,-0.459107,-0.333579,0.362928,
W[5],0.296059,0.341119,0.386438,0.504965,0.314876,0.368691,0.0745884,
W[6],0.588748,0.443735,0.0798026,-0.0041058,0.0531441,0.232265,0.237907,
W[7],-0.729053,-0.138656,-0.176216,-0.0105216,-0.107827,-0.232455,0.254306,
W[8],0.185276,-0.0277618,0.534688,0.308677,0.697329,0.339642,0.255247,
W[9],-0.129686,0.0619428,0.0150213,-0.190797,-0.375602,-0.123824,0.156012,
W[10],-0.808375,0.11435,-1.13389,-0.83578,-0.957238,-0.724186,0.434707,
W[11],-0.783006,-0.24479,-0.309292,-0.529097,-0.498908,-0.473018,0.189104,
W[12],0.123456,-0.259672,-0.174581,-0.235212,-0.25237,-0.159676,0.144695,
W[13],-0.305491,-0.316076,-0.466771,-0.521014,-0.296327,-0.381136,0.0938582,
W[14],-2.18656,-0.696425,-3.28463,-3.37914,-3.60965,-2.63128,1.08488,
W[15],3.93331,3.26979,3.59936,3.90374,3.74889,3.69102,0.242134,
W[16],2.0377,1.52871,1.75804,1.98885,1.83719,1.8301,0.181315,
W[17],-4.09809,-3.94226,-4.2651,-4.53332,-4.81486,-4.33073,0.311374,
W[18],0.217268,-0.0100535,-0.0270669,0.139511,-0.333486,-0.00276535,0.189038,
W[19],-0.235328,-0.0730476,-0.115551,-0.155297,-0.0327215,-0.122389,0.0697993,
W[20],2.57597,0.819475,2.52623,2.01539,2.11983,2.01138,0.63502,
W[21],3.88537,4.58418,3.51458,4.74366,4.38359,4.22228,0.456766,
W[22],3.121,3.2183,2.43837,4.05018,3.32555,3.23068,0.513909,
W[23],0.683824,-0.582101,0.127234,0.127603,0.116256,0.0945631,0.401929,
W[24],1.38598,1.45992,0.580577,2.58668,1.81581,1.56579,0.650984,
W[25],-0.546268,-1.0706,-1.15027,-0.982601,-0.948493,-0.939645,0.208892,
W[26],-0.443531,-0.204004,-0.0867781,-0.491896,0.156043,-0.214033,0.237961,
W[27],3.6996,3.61077,3.81006,3.627,3.40102,3.62969,0.134223,
W[28],-0.715443,1.12639,1.75606,1.55464,1.36301,1.01693,0.890878,
W[29],0.921067,2.19124,-0.303235,0.134761,-0.787547,0.431256,1.04406,
W[30],0.0709406,-0.186503,0.528461,0.226491,-0.26045,0.0757879,0.286182,
W[31],-0.0727968,1.64498,-1.73359,-1.06765,0.0354585,-0.238721,1.14654,
W[32],0.933976,0.773089,0.725699,1.34472,0.894564,0.93441,0.218874,
W[33],1.24177,0.625113,-0.296943,0.980163,0.395859,0.589193,0.529646,
W[34],1.05273,1.26726,0.00658988,0.473307,1.13295,0.78657,0.475057,
W[35],0.819087,0.748343,0.0323946,0.720642,0.824744,0.629042,0.301008,
W[36],-0.670804,-0.175998,-0.737582,-0.178295,-1.46566,-0.645668,0.473391,
W[37],-0.182393,-0.15779,-0.126331,0.0178263,-0.700493,-0.229836,0.245361,
W[38],-0.808454,-1.14671,0.143862,0.753597,-0.701162,-0.351773,0.697144,
W[39],2.06779,1.87624,1.61465,1.64605,2.29393,1.89973,0.256832,
W[40],0.515669,-0.620307,0.635714,0.426528,-0.116106,0.1683,0.470874,
W[41],2.6983,0.611436,1.22713,1.42121,2.1356,1.61874,0.726586,
W[42],3.60646,4.10298,3.69222,3.15201,2.87186,3.48511,0.430446,
W[43],4.27414,4.29264,5.29432,4.46781,6.38384,4.94255,0.811862,
W[44],1.74918,0.92489,1.07925,0.87098,0.812668,1.08739,0.342562,
W[45],2.04726,1.6024,2.91546,2.47609,2.76405,2.36105,0.481046,
W[46],1.15338,0.794365,0.976647,0.506835,0.419468,0.770138,0.276551,
W[47],1.57107,0.862458,0.991948,1.27878,1.46154,1.23316,0.269824,
W[48],0.360463,2.07948,2.01749,0.451391,0.503521,1.08247,0.790321,
W[49],2.20621,1.207,1.05533,1.70028,0.856338,1.40503,0.488186,
W[50],-0.849623,-0.125363,-1.11963,-0.0203206,-0.181292,-0.459246,0.44043,
W[51],-1.62742,-1.6112,-1.55413,-1.59293,-2.01767,-1.68067,0.170258,
W[52],0.610082,0.616322,0.415874,0.234117,0.618599,0.498999,0.153284,
W[53],0.496139,-0.00722494,0.0322225,-0.0631622,-0.0575461,0.0800857,0.210939,
W[54],0.597852,0.177756,0.336796,0.16094,0.421931,0.339055,0.162229,
W[55],0.361564,-0.466174,0.43136,-0.0291293,0.639821,0.187488,0.392066,
W[56],0.235244,1.43024,0.890091,0.783018,-0.268672,0.613984,0.581997,
W[57],1.97032,1.33014,-0.033304,1.05086,-0.0796394,0.847677,0.796295,
W[58],0.0545975,0.399401,-1.17264,-0.278845,0.367777,-0.125942,0.578152,
W[59],1.26684,-0.371778,-0.148994,1.16695,0.461742,0.474951,0.665188,
W[60],0.874632,-0.0950363,0.520391,0.0568758,0.329203,0.337213,0.34289,
W[61],0.750301,0.213618,0.912091,0.406875,0.846099,0.625797,0.269747,
W[62],-0.389924,-0.478453,1.34518,0.0710941,-0.260185,0.0575428,0.670323,
W[63],0.457062,-1.00832,1.82958,0.669068,1.90503,0.770484,1.06598,
W[64],1.8034,0.898963,3.13374,3.33911,5.06909,2.84886,1.4245,
W[65],-0.659707,-0.330579,0.287846,1.83596,0.471213,0.320947,0.860827,
W[66],2.97349,1.45151,4.083,5.07705,5.15808,3.74863,1.39575,
W[67],2.51019,1.93971,1.24492,1.07607,1.80395,1.71497,0.513797,
W[68],1.30463,1.01022,2.56709,1.73288,0.893502,1.50166,0.606431,
W[69],3.31811,2.34142,1.58334,3.59127,3.04125,2.77508,0.726664,
W[70],1.37874,-0.013823,1.45067,2.40853,1.03179,1.25118,0.780243,
W[71],0.00811161,-1.39251,-0.497348,-0.239673,0.643887,-0.295506,0.66662,
W[72],-0.0116402,0.635435,-0.927834,-0.744487,0.258013,-0.158103,0.593403,
W[73],0.00265754,-0.305096,-0.771044,-0.1466,-0.284884,-0.300993,0.259717,
W[74],-0.313862,-0.458827,0.152408,-0.7992,-0.249631,-0.333822,0.30858,
W[75],-2.63268,-1.90525,-1.86794,-1.53117,-2.21446,-2.0303,0.370919,
W[76],2.9593,2.42005,3.20205,2.60889,1.74268,2.5866,0.501619,
W[77],0.249592,1.0198,0.468173,1.70702,0.49592,0.788101,0.52456,
W[78],-1.23907,-1.38178,-1.36535,-1.4939,-1.07738,-1.3115,0.142244,
W[79],-0.933943,-0.577555,0.349166,-0.00984061,0.0723166,-0.219971,0.467146,
W[80],-0.384114,-0.574435,-0.781295,-0.696257,-0.480587,-0.583338,0.143014,
W[81],-0.0645978,-1.08636,-0.174894,-1.12008,-0.665729,-0.622332,0.441865,
W[82],1.26218,0.13359,0.227598,1.55445,0.71588,0.778738,0.558455,
W[83],1.16391,0.298261,0.011734,0.893787,-0.38373,0.396793,0.566157,
