,1,2,3,4,5,E,SD,
RMSE,30.6215,34.8923,27.6881,28.8043,32.9308,30.9874,2.63857,
R^2,0.23694,0.199475,0.281777,0.242911,0.217634,0.235747,0.0276236,
W[0],0.0958744,0.0975707,-0.0101957,-0.227647,-0.10295,-0.0294696,0.124013,
W[1],-0.0699699,-0.0544818,-0.0987289,0.139396,-0.131412,-0.0430393,0.0949207,
W[2],-0.180814,-0.227919,-0.23789,0.183087,-0.391599,-0.171027,0.19071,
W[3],0.14212,0.0803109,0.143004,0.0142755,0.114184,0.0987789,0.0480698,
W[4],0.356792,-0.0659113,-0.766561,0.742728,-0.298463,-0.00628309,0.521496,
W[5],-1.4758,-1.54553,-1.38031,-0.915308,-1.31443,-1.32628,0.220175,
W[6],2.57246,2.68281,2.48811,3.15533,2.15169,2.61008,0.325266,
W[7],1.81341,0.76039,1.4764,2.23349,1.50333,1.5574,0.483188,
W[8],2.1985,2.20639,2.15495,3.27638,1.8318,2.33361,0.491323,
W[9],0.59288,0.522158,0.131791,0.5655,-0.416458,0.279174,0.386021,
W[10],0.00611364,-0.01051,0.375168,0.385814,-0.450136,0.0612898,0.307763,
W[11],1.21658,1.0961,1.85133,1.00715,1.37286,1.3088,0.297718,
W[12],1.54762,1.27448,1.77516,2.13036,1.48719,1.64296,0.291261,
W[13],-0.37817,-0.447305,-0.232031,0.347976,-0.231194,-0.188145,0.280884,
W[14],-0.21007,-0.387719,-0.216764,-0.120291,-0.319684,-0.250906,0.0931043,
W[15],-0.793464,-1.08644,-1.12725,-0.377433,-0.588863,-0.794692,0.28712,
W[16],2.71388,3.00704,1.71963,1.84321,1.49041,2.15483,0.594435,
W[17],-0.186931,-0.0915735,-0.0590299,0.350694,0.665991,0.13583,0.32283,
W[18],-0.54816,-0.0765083,-0.355977,0.506563,-0.401158,-0.175048,0.373464,
W[19],-0.361803,0.0584929,0.606448,-0.515591,0.424931,0.0424956,0.433468,
W[20],0.301712,0.408293,0.168322,1.16569,0.131682,0.435141,0.378289,
W[21],-5.23371,-5.06853,-4.41283,-3.81995,-3.51266,-4.40954,0.673134,
W[22],-2.67508,-2.15482,-2.62803,-2.14292,-2.91028,-2.50222,0.303976,
W[23],-1.3808,-1.54039,-1.39011,-1.59295,-1.18013,-1.41687,0.144447,
W[24],-0.441153,-0.55705,-0.72538,-0.961428,-0.226691,-0.58234,0.249491,
W[25],-0.0532653,-0.00486776,-0.368999,0.675018,0.329292,0.115436,0.356785,
W[26],0.31856,0.409501,-0.124902,0.248214,0.131209,0.196516,0.184664,
W[27],-0.489669,-0.472164,-0.469541,-0.750253,0.353246,-0.365676,0.374767,
W[28],-2.32373,-2.703,-2.61064,-1.67699,-2.7369,-2.41025,0.39439,
W[29],4.42916,3.70052,3.07599,3.35723,2.65942,3.44446,0.599145,
W[30],7.78136,8.46687,8.03501,8.41877,8.10729,8.16186,0.254118,
W[31],2.69288,2.35448,2.28479,2.68374,2.28547,2.46027,0.187927,
W[32],-4.49882,-3.75386,-3.04207,-2.93948,-2.57503,-3.36185,0.684999,
W[33],4.45705,4.04397,4.10659,4.15503,3.77361,4.10725,0.219073,
W[34],-1.2353,-1.25544,-1.2673,-1.07337,-1.45097,-1.25647,0.119935,
W[35],0.0179883,0.0290183,0.0248675,-0.107971,0.00334914,-0.00654959,0.0514559,
W[36],0.793351,0.830934,1.01337,1.25496,0.978006,0.974124,0.163466,
W[37],-0.36325,-0.600529,0.518757,0.873576,-0.720933,-0.0584757,0.636785,
W[38],0.86389,0.55655,-0.0233517,-0.54982,-0.171738,0.135106,0.509338,
W[39],-0.11095,-0.159585,-0.082025,0.140301,0.0521804,-0.0320157,0.111164,
W[40],-0.153961,-0.215354,-0.192429,0.141947,0.187697,-0.0464201,0.174192,
W[41],-0.146792,-0.212937,-0.1706,0.153049,0.0630291,-0.0628502,0.143973,
W[42],-0.131471,-0.168276,-0.136055,0.150015,0.242209,-0.00871552,0.170236,
W[43],-0.0643507,-0.119825,-0.0651201,0.200396,0.21926,0.0340721,0.14503,
W[44],-0.0971525,-0.111816,-0.0677764,0.386002,0.225087,0.0668686,0.201911,
W[45],-0.277923,-0.299941,-0.256903,0.229598,0.156733,-0.0896873,0.232494,
W[46],-0.0461892,-0.211519,-0.243342,-0.150198,-0.0844496,-0.14714,0.0742025,
W[47],0.0450978,-0.102458,-0.18163,-0.136133,-0.0606502,-0.0871549,0.0771388,
W[48],0.0279264,-0.113971,-0.179604,-0.0471495,-0.15207,-0.0929736,0.0750396,
W[49],-0.00890615,-0.125084,-0.174693,-0.147494,-0.154265,-0.122088,0.058766,
W[50],0.0420118,-0.116255,-0.138607,-0.106176,-0.154688,-0.0947427,0.0704455,
W[51],-0.0154831,-0.134494,-0.199909,-0.180983,-0.145778,-0.135329,0.064386,
W[52],0.0502329,-0.0942809,-0.147335,-0.0585896,-0.258451,-0.101685,0.101637,
W[53],5.09373,5.1483,5.12458,4.40828,4.9259,4.94016,0.277135,
W[54],0.735544,0.624729,0.302621,0.74457,0.214643,0.524421,0.222826,
W[55],0.194429,0.219864,-0.0254043,-0.304524,-0.118147,-0.00675631,0.196598,
W[56],0.223695,0.159318,-0.0524053,-0.220105,-0.133948,-0.00468907,0.169968,
W[57],0.234448,0.100938,-0.065676,-0.144529,-0.0622256,0.0125911,0.136701,
W[58],0.212809,0.12702,0.00734346,-0.157986,-0.0862458,0.0205883,0.135465,
W[59],0.177795,0.10684,0.0120683,-0.218308,-0.110938,-0.00650861,0.143475,
W[60],0.018806,-0.0878138,-0.242325,-0.139199,-0.0832645,-0.106759,0.08498,
W[61],0.109868,0.0930262,-0.0102525,-0.21338,-0.125031,-0.0291539,0.124695,
W[62],-0.00356658,-0.0586788,-0.0326272,0.0522838,-0.0717898,-0.0228757,0.0442523,
W[63],0.0562472,-0.0591433,-0.181102,-0.0970221,-0.057262,-0.0676565,0.0765048,
W[64],0.00389071,-0.0585318,-0.168297,-0.157703,0.0150575,-0.0731167,0.0776295,
W[65],0.0274077,0.0119155,-0.103778,-0.10762,-0.0683206,-0.0480791,0.0571924,
W[66],0.154732,0.114785,0.000196,-0.14435,-0.0332701,0.0184187,0.107112,
W[67],0.123146,0.0804211,-0.0231482,-0.116278,-0.0172215,0.00938386,0.0843151,
W[68],0.0661973,0.0519474,-0.0281504,-0.0596945,-0.0906941,-0.0120789,0.0615344,
W[69],0.00257847,-0.0167828,-0.104291,-0.207736,-0.0803106,-0.0813084,0.0744497,
W[70],0.106229,0.0961817,-0.00168298,-0.0967501,-0.068645,0.00706649,0.0828991,
W[71],0.187696,0.0884369,0.0179966,-0.0773261,-0.0301769,0.0373253,0.0930579,
W[72],-0.0367386,-0.0444372,-0.0733538,-0.0568616,-0.102227,-0.0627236,0.0233129,
W[73],-0.0385905,0.00566593,-0.0766648,-0.183602,-0.0993676,-0.0785118,0.0635011,
W[74],0.0531692,0.0798257,0.0310104,-0.0320066,-0.147637,-0.00312772,0.0811578,
