,1,2,3,4,5,E,SD,
RMSE,30.8219,29.7684,32.2829,29.0663,30.8896,30.5658,1.09577,
R^2,0.247523,0.236052,0.254778,0.285951,0.263488,0.257558,0.0168063,
W[0],0.0365379,-0.00195733,0.0537363,0.014728,0.137662,0.0481413,0.0485925,
W[1],-0.0477795,-0.0589291,0.0129729,-0.0215604,-0.0133297,-0.0257252,0.0255242,
W[2],-0.126361,-0.117565,-0.0940231,-0.179836,-0.0576328,-0.115084,0.0401754,
W[3],0.0303718,0.0296875,-0.0133664,0.0339713,-0.00741235,0.0146504,0.0205829,
W[4],-0.235361,0.210791,0.551311,0.266113,0.380971,0.234765,0.262356,
W[5],-0.285593,-0.195919,0.00278657,-0.335848,0.0712633,-0.148662,0.159578,
W[6],1.05802,0.513524,0.593281,1.07334,0.100996,0.667832,0.365336,
W[7],0.468382,0.688101,0.707514,0.673746,0.750466,0.657642,0.098092,
W[8],1.06586,0.796877,0.792875,1.06058,0.505008,0.844239,0.207787,
W[9],-0.0788921,0.0919072,0.0630757,-0.0686095,1.03648,0.208792,0.419446,
W[10],0.180518,0.035609,0.253733,0.163662,0.208667,0.168438,0.0730835,
W[11],0.199319,1.20178,-0.223434,-0.302645,1.16783,0.408571,0.656461,
W[12],1.04827,0.646457,0.965498,0.887922,0.805426,0.870715,0.138102,
W[13],0.0143748,-0.0811179,0.220646,-0.0771144,-0.0282449,0.0097087,0.111126,
W[14],0.00133657,0.00268967,0.0780736,0.0444568,-0.00295511,0.0247203,0.0317307,
W[15],-0.293764,-0.248553,-0.154118,-0.246477,-0.21704,-0.23199,0.0460167,
W[16],0.272202,0.176025,1.16902,0.92412,-0.0107619,0.506121,0.457166,
W[17],0.459084,0.378815,0.450099,0.512864,0.205493,0.401271,0.106783,
W[18],0.0620056,-0.113567,0.00025912,0.0350624,0.0486868,0.00648934,0.0634531,
W[19],0.494396,0.245874,-0.161994,0.0669521,-0.195731,0.0898995,0.258266,
W[20],0.121367,-0.0402226,0.0013873,0.162824,-0.112205,0.0266302,0.101888,
W[21],-1.3074,-1.50525,-0.833933,-1.61341,-0.547832,-1.16157,0.406833,
W[22],-0.997611,-0.857299,-1.09409,-1.08538,-1.12979,-1.03283,0.0979466,
W[23],-0.735125,-0.129304,-0.224689,-0.724108,0.0943405,-0.343777,0.331642,
W[24],-0.126892,-0.152052,-0.288676,-0.0952533,-0.265982,-0.185771,0.0772275,
W[25],-0.123084,0.0396855,-0.00604743,-0.0771598,0.0308899,-0.0271432,0.0632222,
W[26],-0.0412636,-0.18521,0.342994,0.369069,-0.21613,0.0538919,0.253792,
W[27],0.180607,0.0384288,0.062735,0.246544,-0.224362,0.0607905,0.161664,
W[28],-0.71781,-0.992776,-0.895771,-0.70442,-0.729743,-0.808104,0.115614,
W[29],0.25308,0.62549,0.7336,0.487495,0.224853,0.464904,0.200494,
W[30],9.01503,8.58274,8.81922,8.70125,9.12295,8.84824,0.198103,
W[31],3.25508,3.39825,3.46458,3.41913,3.20091,3.34759,0.101434,
W[32],-0.266341,-0.696929,-0.585719,-0.462722,-0.158901,-0.434122,0.198375,
W[33],4.56877,4.82003,4.75742,5.01432,4.32644,4.6974,0.233767,
W[34],-0.291983,-0.29582,-0.347744,-0.301203,-0.375384,-0.322427,0.0332586,
W[35],0.0150632,0.0181482,0.00989336,0.0137006,0.0151814,0.0143974,0.0026795,
W[36],0.570527,0.376042,0.353884,0.413324,0.393321,0.421419,0.0770822,
W[37],1.45488,2.57615,2.09012,1.87549,1.92855,1.98504,0.362411,
W[38],0.0774848,0.078,0.0558568,0.08007,0.0465631,0.0675949,0.0137246,
W[39],-0.131747,-0.0117859,-0.306641,-0.48736,0.36161,-0.115185,0.287565,
W[40],-0.157569,-0.0248163,-0.265527,-0.537875,0.370234,-0.123111,0.298848,
W[41],-0.164417,-0.0312782,-0.273159,-0.543489,0.359195,-0.13063,0.297223,
W[42],-0.136191,0.00737446,-0.326104,-0.529105,0.366581,-0.123489,0.304313,
W[43],-0.137195,0.00359642,-0.291429,-0.517383,0.366359,-0.11521,0.296413,
W[44],-0.138237,-0.0107783,-0.312909,-0.523819,0.387515,-0.119646,0.306632,
W[45],-0.120684,0.00541509,-0.288909,-0.498651,0.331681,-0.114229,0.279816,
W[46],-0.218028,-0.171551,-0.122726,-0.0353982,0.389827,-0.0315752,0.219208,
W[47],-0.167099,-0.122126,-0.123934,0.00632743,0.397847,-0.00179709,0.208088,
W[48],-0.188825,-0.142793,-0.0868418,-0.010471,0.399024,-0.00598148,0.211062,
W[49],-0.224257,-0.164885,-0.101892,-0.0262854,0.416352,-0.0201935,0.227974,
W[50],-0.202561,-0.149925,-0.135926,-0.0166199,0.406154,-0.0197757,0.22148,
W[51],-0.194584,-0.141229,-0.0766227,-0.00121696,0.387114,-0.00530772,0.20659,
W[52],-0.201277,-0.158201,-0.099377,-0.00939287,0.379122,-0.0178252,0.208638,
W[53],2.72199,1.58791,1.86237,2.32344,2.12148,2.12344,0.38813,
