,1,2,3,4,5,E,SD,
RMSE,33.3276,30.1736,32.782,29.317,26.6685,30.4537,2.42396,
R^2,0.234418,0.246812,0.252707,0.257361,0.318956,0.262051,0.0294733,
W[0],0.0269192,0.102558,0.0520504,0.0900519,0.0796057,0.0702371,0.0273213,
W[1],0.012864,-0.029503,-0.0211348,0.0100952,0.00975044,-0.00358565,0.0179738,
W[2],-0.0654702,-0.108985,-0.09054,-0.108623,-0.100992,-0.0949221,0.0161799,
W[3],-0.0176044,0.0155955,0.0134569,-0.0186873,-0.0012519,-0.00169825,0.0146327,
W[4],0.0793704,0.13936,-0.487942,0.0226234,0.213018,-0.006714,0.248785,
W[5],0.131268,-0.0178945,-0.311727,-0.177906,-0.0779653,-0.0908449,0.149124,
W[6],0.177648,0.233641,0.983193,0.428639,0.96307,0.557238,0.349708,
W[7],0.0426898,1.12974,0.681003,0.483498,0.728246,0.613035,0.354104,
W[8],0.245093,0.423345,0.911966,0.95439,0.812307,0.66942,0.283217,
W[9],0.028609,0.961526,0.230525,-0.0669094,-0.0898527,0.21278,0.391067,
W[10],0.0948597,0.0181786,0.092053,0.218364,0.295083,0.143708,0.0992975,
W[11],0.4553,-0.0559142,-0.18457,0.254416,0.052506,0.104348,0.226951,
W[12],0.821046,0.555106,0.898074,0.891122,0.872017,0.807473,0.129031,
W[13],0.325536,-0.0645708,0.239361,-0.0940506,-0.0594851,0.0693581,0.176504,
W[14],0.0452935,0.00646118,0.0847096,0.0136802,0.0160453,0.0332379,0.0289474,
W[15],-0.253881,-0.191659,-0.358856,-0.17333,-0.232101,-0.241965,0.0650298,
W[16],0.380608,0.920059,0.563789,0.549256,0.711392,0.625021,0.180961,
W[17],0.4949,0.197809,0.280783,0.372613,0.464786,0.362178,0.111261,
W[18],0.111529,-0.103439,0.118244,-0.0579832,-0.0345553,0.00675913,0.0910469,
W[19],0.359111,-0.0530418,0.742078,0.539473,0.0293076,0.323386,0.300484,
W[20],-0.188305,-0.176084,0.16831,0.164112,0.0287913,-0.000635044,0.156558,
W[21],-0.816859,-1.03946,-1.33736,-0.757485,-1.42765,-1.07576,0.269039,
W[22],-0.160495,-1.29459,-1.00048,-0.890752,-0.965057,-0.862275,0.376794,
W[23],0.330821,0.0241639,-0.592336,-0.49634,-0.180036,-0.182745,0.33843,
W[24],-0.323016,-0.138676,-0.280603,-0.234988,-0.289968,-0.25345,0.063913,
W[25],0.0464508,0.0524589,-0.0711346,-0.0379027,-0.112962,-0.0246178,0.0650177,
W[26],-0.0741539,0.230693,0.183819,0.0255486,0.23451,0.120083,0.123333,
W[27],0.163452,-0.187568,-0.066586,0.0246779,0.227717,0.0323386,0.15071,
W[28],-1.06325,-0.68702,-0.884047,-0.427882,-0.573569,-0.727155,0.224652,
W[29],0.405921,-0.0135546,-0.139798,0.242193,-0.0852024,0.0819117,0.208263,
W[30],8.83013,8.73324,8.31408,9.02143,9.02474,8.78472,0.260714,
W[31],3.51966,3.80522,3.92628,3.48919,3.51389,3.65085,0.179884,
W[32],-0.381014,-0.107139,0.07824,-0.18116,0.0712442,-0.103966,0.171244,
W[33],4.94931,5.20157,5.39897,4.87604,4.8498,5.05514,0.21218,
W[34],-0.229125,-0.198705,-0.211741,-0.223645,-0.247337,-0.222111,0.0163907,
W[35],-0.0193972,-0.00876133,-0.00604478,-0.0158173,0.00796908,-0.00841029,0.00948237,
W[36],0.38588,0.387366,0.294044,0.360255,0.373665,0.360242,0.034512,
W[37],0.792245,-0.424773,-0.37759,-0.909286,-0.60591,-0.305063,0.579529,
W[38],0.0526695,0.0614083,0.0515085,0.0565822,0.047304,0.0538945,0.00478141,
W[39],0.174671,0.0617129,0.11835,-0.287792,-0.488518,-0.0843152,0.258555,
W[40],0.210502,0.0768926,0.140578,-0.277402,-0.506151,-0.0711161,0.274896,
W[41],0.185097,0.091405,0.15631,-0.31483,-0.514468,-0.0792972,0.282632,
W[42],0.198413,0.103054,0.168825,-0.325461,-0.507645,-0.0725627,0.288372,
W[43],0.221155,0.0896267,0.143819,-0.274441,-0.51411,-0.0667902,0.281051,
W[44],0.224604,0.112101,0.163959,-0.269462,-0.509172,-0.0555939,0.285064,
W[45],0.193314,0.0997227,0.148126,-0.288423,-0.507096,-0.0708712,0.2773,
W[46],-0.495515,0.208145,0.0559824,0.173187,0.244994,0.0373585,0.273872,
W[47],-0.476649,0.216221,0.0613466,0.160312,0.261207,0.0444875,0.268977,
W[48],-0.495955,0.203503,0.0479028,0.152173,0.272749,0.0360746,0.275942,
W[49],-0.497499,0.229745,0.0713493,0.171885,0.271697,0.0494352,0.281611,
W[50],-0.502292,0.216304,0.0598051,0.170881,0.278147,0.0445691,0.282593,
W[51],-0.490719,0.237258,0.0826837,0.172593,0.27515,0.055393,0.280744,
W[52],-0.491539,0.216983,0.0589119,0.18328,0.25712,0.0449512,0.276319,
W[53],3.94158,4.15792,3.98138,4.05105,3.98027,4.02244,0.0763876,
